"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A.x","B.x","C.x","D.x","E.x","F.x","G.x","H.x","L.x","M.x","N.x","GOs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"1","Pocillopora_acuta_HIv2___TS.g21597.t2",1452.2411456119,0.879920426258989,0.191808797829933,4.58748731139626,4.48612684732439e-06,0.0179243198184846,657,1269,1278,2571,1729,2784,1405,2430,746,1747,271,"GO:0000096",0.0150936329494391,0.996771499912751,5,45,"sulfur amino acid metabolic process","BP",1
"2","Pocillopora_acuta_HIv2___TS.g21597.t2",1452.2411456119,0.879920426258989,0.191808797829933,4.58748731139626,4.48612684732439e-06,0.0179243198184846,657,1269,1278,2571,1729,2784,1405,2430,746,1747,271,"GO:0006082",0.000744146616498801,0.999594337110895,45,815,"organic acid metabolic process","BP",0.418852879745263
"3","Pocillopora_acuta_HIv2___TS.g21597.t2",1452.2411456119,0.879920426258989,0.191808797829933,4.58748731139626,4.48612684732439e-06,0.0179243198184846,657,1269,1278,2571,1729,2784,1405,2430,746,1747,271,"GO:0006520",0.0155071525372112,0.992510972072579,17,287,"amino acid metabolic process","BP",1
"4","Pocillopora_acuta_HIv2___TS.g21597.t2",1452.2411456119,0.879920426258989,0.191808797829933,4.58748731139626,4.48612684732439e-06,0.0179243198184846,657,1269,1278,2571,1729,2784,1405,2430,746,1747,271,"GO:0006534",0.0015260014849448,0.999879010043882,4,16,"cysteine metabolic process","BP",0.604595804015581
"5","Pocillopora_acuta_HIv2___TS.g21597.t2",1452.2411456119,0.879920426258989,0.191808797829933,4.58748731139626,4.48612684732439e-06,0.0179243198184846,657,1269,1278,2571,1729,2784,1405,2430,746,1747,271,"GO:0006555",0.018863223223732,0.996636291927733,4,32,"methionine metabolic process","BP",1
"6","Pocillopora_acuta_HIv2___TS.g21597.t2",1452.2411456119,0.879920426258989,0.191808797829933,4.58748731139626,4.48612684732439e-06,0.0179243198184846,657,1269,1278,2571,1729,2784,1405,2430,746,1747,271,"GO:0008652",0.000315540833093127,0.999926941664498,11,96,"amino acid biosynthetic process","BP",0.25503626724453
"7","Pocillopora_acuta_HIv2___TS.g21597.t2",1452.2411456119,0.879920426258989,0.191808797829933,4.58748731139626,4.48612684732439e-06,0.0179243198184846,657,1269,1278,2571,1729,2784,1405,2430,746,1747,271,"GO:0009058",0.0230500134509461,0.982801111529678,92,2248,"biosynthetic process","BP",1
"8","Pocillopora_acuta_HIv2___TS.g21597.t2",1452.2411456119,0.879920426258989,0.191808797829933,4.58748731139626,4.48612684732439e-06,0.0179243198184846,657,1269,1278,2571,1729,2784,1405,2430,746,1747,271,"GO:0009066",0.000191645045526042,0.999966386771739,9,63,"aspartate family amino acid metabolic process","BP",0.222489998045832
"9","Pocillopora_acuta_HIv2___TS.g21597.t2",1452.2411456119,0.879920426258989,0.191808797829933,4.58748731139626,4.48612684732439e-06,0.0179243198184846,657,1269,1278,2571,1729,2784,1405,2430,746,1747,271,"GO:0009069",0.0152963697858962,0.996717139292621,5,45,"serine family amino acid metabolic process","BP",1
"10","Pocillopora_acuta_HIv2___TS.g21597.t2",1452.2411456119,0.879920426258989,0.191808797829933,4.58748731139626,4.48612684732439e-06,0.0179243198184846,657,1269,1278,2571,1729,2784,1405,2430,746,1747,271,"GO:0009109",0.0361922875890409,0.997032339108434,2,10,NA,NA,1
